Segment,Error_Code,Error_ID,Description
FO,16283,OE_PRICE_NOT_MULT,The order price is not multiple of the tick size.
FO,16284,OE_PRICE_EXCEEDS_DAY_MIN_MAX,The order price is out of the day‟s price range.
FO,16285,OE_IS_NOT_ACTIVE,The broker is not active.
FO,16300,e$system_wrong_state,System is in a wrong state to make the requested change.
FO,16303,OE_AUCTION_PENDING,The auction is pending.
FO,16307,OE_QTY_FREEZE_CAN,The order has been canceled due to quantity freeze.
FO,16308,OE_PRICE_FREEZE_CAN,The order has been canceled due to price freeze.
FO,16311,OE_SOL_PERIOD_OVER,The Solicitor period for the Auction is over.
FO,16312,OE_COMP_PERIOD_OVER,The Competitor period for the Auction is over.
FO,16313,OE_AUC_PERIOD_GREATER,The Auction period will cross market close time.
FO,16315,OE_LIMIT_TRIGGER,The limit price is worse than the trigger price.
FO,16316,OE_TRIGGER_PRICE_NOT_MULT,The trigger price is not a multiple of tick size.
FO,16317,OE_NO_AON_ATTRIB,AON attribute not allowed.
FO,16318,OE_NO_MF_ATTRIB,MF attribute not allowed.
FO,16319,OE_NO_AON_IN_ATTRIB1,AON attribute not allowed at Security level.
FO,16320,OE_NO_MF_ATTRIB1,MF attribute not allowed at security level.
FO,16321,OE_MF_GREATER_DISC,MF quantity is greater than disclosed quantity
FO,16322,OE_MF_NOT_MULT,MF quantity is not a multiple of regular lot.
FO,16323,OE_MF_GREATER_ORIGINAL,MF quantity is greater than Original quantity.
FO,16324,OE_DISC_GREATER_ORIGINAL,Disclosed quantity is greater than Original quantity.
FO,16325,OE_DISC_NOT_MULT,Disclosed quantity is not a multiple of regular lot.
FO,16326,OE_GTD_GREATER,GTD is greater than that specified at the trading system.
FO,16327,OE_QUANTITY_GERATER_RL,Odd lot quantity cannot be greater than or equal to regular lot size.
FO,16328,OE_QUANTITY_NOT_MULT_RL,Quantity is not a multiple of regular lot.
FO,16329,OE_BROKER_NOT_PERMITTED,Trading Member not permitted in the market.
FO,16330,OE_IS_SUSPENDED,Security is suspended.
FO,16333,OE_BRANCH_LI MIT_EXCEEDED,Branch Order Value Limit has been exceeded.
FO,16343,OE_ORD_CAN_CHANGED,The order to be cancelled has changed.
FO,16344,OE_ORD_CANNOT_CANCEL,The order cannot be cancelled.
FO,16345,OE_INIT_ORD_CANCEL,Initiator order cannot be cancelled.
FO,16346,OE_ORD_CANNOT_MODIFY,Order cannot be modified.
FO,16348,ERR_TRADING_NOT_ALLOWED,Trading is not allowed in this market.
FO,16357,OE_NT_REJECTED,Control has rejected the Negotiated Trade.
FO,16363,CHG_ST_EXISTS,Status is in the required state.
FO,16369,OE_SECURITY_IN_PREOPEN,Contract is in preopen.
FO,16372,OE_INQ_NOT_ALLOWED,Order entry not allowed for user as it is of inquiry type.
FO,16387,OE_SECURITY_INELIGIBLE,Contract not allowed to trader in.
FO,16388,e$fok_order_cancelled,“Order Cancelled By System”
FO,16392,TURNOVER_LIMIT_NOT_PROVIDED,Turnover limit not provided. Please contact Exchange.
FO,16400,OE_MAX_DQ_ALLOWED,DQ is less than minimum quantity allowed.
FO,16404,OE_ADMIN_SUSP_CAN,Order has been cancelled due to freeze admin suspension.
FO,16405,e$invalid_buy_sell_type,BUY – SELL type entered is invalid.
FO,16406,e$invalid_book_type,BOOK type entered is invalid.
FO,16408,e$invalid_trigger_price,trigger_price entered has invalid characters.
FO,16414,e$invalid_pro_client,Pro/Client should be either 1 (client) or 2 (broker).
FO,16415,e$invalid_instructions,Invalid combination of book type and instructions (order_type).
FO,16416,e$invalid_order_parameters,Invalid combination of mf/aon/disclosed volume.
FO,16419,INVALID_ORDER,This error code will be returned for invalid data in the order packet.
FO,16440,e$gtd_gt_maturity,GTD is greater than Maturity date.
FO,16441,e$dq_ord_not_allowed_popen,DQ orders are not allowed in preopen
FO,16442,e$st_ord_not_allowed_popen,ST orders are not allowed in preopen.
FO,16443,e$ord_lim_exceeds_ord_val_lim,Order value exceeds the order limit value.
FO,16445,SL_NOT_ALLOWED,Stop Loss orders are not allowed.
FO,16446,MIT_NOT_ALLOWED,Market If Touched orders are not allowed.
FO,16447,E$ord_not_allowed_in_preopen,Order entry not allowed in Pre-open.
FO,16500,e$not_allowed,Ex/Pl not allowed.
FO,16501,e$invalid_ex_pl_char,Invalid ExPl flag value.
FO,16513,e$rejection_not_allowed,Ex/Pl rejection not allowed.
FO,16514,e$not_modifiable,Not modifiable.
FO,16518,e$tm_cm_does_not_exist,"Clearing member, Trading Member link not found."
FO,16521,e$not_clg_mem,Not a clearing member.
FO,16523,e$user_not_corp_mgr,User in not a corporate manager.
